Counts	Number
0	231228.75342899794
1	208899.95446999624
2	141943.59198623177
3	91334.76114500432
4	59663.57030281341
5	40450.05389220172
6	28578.69716683974
7	20986.22937829745
8	15942.502669229685
9	12467.669324078952
10	9993.013192761737
11	8177.821364731472
12	6811.303752975285
13	5759.056294374839
14	4932.906477787603
15	4273.372929328532
16	3739.2080486107748
17	3301.057188229345
18	2937.5501588178213
19	2632.8335765688516
20	2374.960657471952
21	2154.803373602393
22	1965.2979928723596
23	1800.9148962780193
24	1657.2841785764588
25	1530.9292197231293
26	1419.072950101424
27	1319.4913859487324
28	1230.397722881312
29	1150.347495402091
30	1078.1603782034738
31	1012.8569936436242
32	953.6099554674781
33	899.7080574326261
34	850.5317504247612
35	805.5374155403107
36	764.2476812682519
37	726.2452371447816
38	691.1681116036922
39	658.705069451301
40	628.5904593570122
41	600.5984011211442
42	574.5365724688404
43	550.2400344826859
44	527.5655509426095
45	506.38675520078084
46	486.59035434440807
47	468.0733927384131
48	450.74145010571834
49	434.50755835854676
50	419.29158441192146
51	405.01983895816636
52	391.6247226227754
53	379.04428939464856
54	367.22167666968977
55	356.1044155351461
56	345.6436738015019
57	335.7935107802719
58	326.5102195580843
59	317.7518259913318
60	309.477782165383
61	301.64886967782195
62	294.22729590765937
63	287.1769437200113
64	280.4637186843482
65	274.0559288036996
66	267.92463426062125
67	262.04391230319277
68	256.3909982988825
69	250.94628273410447
70	245.69316313973582
71	240.61776835718342
72	235.70858529694104
73	230.9560291847122
74	226.35199776073935
75	221.88945058212602
76	217.56204388627356
77	213.3638442471658
78	209.28912934105472
79	205.33227610901724
80	201.4877256284722
81	197.75000759885845
82	194.11380558650208
83	190.57404233520433
84	187.12596838930614
85	183.76524041030692
86	180.48798066725476
87	177.2908144367433
88	174.1708851160376
89	171.12585001482654
90	168.15386090952734
91	165.25353384076
92	162.4239103971386
93	159.66441384576703
94	156.97479931488445
95	154.35509819396572
96	151.80555555957739
97	149.32656012287643
98	146.91856653685142
99	144.5820122230256
100	142.3172310579862
101	140.12436852390658
102	138.0033034516911
103	135.953581638223
104	133.97436612678746
105	132.0644080447487
106	130.22203993915434
107	128.44519216182962
108	126.73142944063409
109	125.07800496384893
110	123.48192625342044
111	121.94002678772318
112	120.4490379599493
113	119.00565495943285
114	117.6065928266477
115	116.24862912579232
116	114.9286321609829
117	113.6435749280107
118	112.39053689238786
119	111.16669634494602
120	109.96931770567176
121	108.795737349264
122	107.6433524702255
123	106.50961626952822
124	105.39204186039895
125	104.28821674249852
126	103.19582746983593
127	102.11269428980277
128	101.03681319311949
129	99.96640326017193
130	98.8999554166737
131	97.83627940949326
132	96.774545811925
133	95.71431902728791
134	94.65557976760851
135	93.59873414586457
136	92.54460871885892
137	91.49443103973275
138	90.44979604236627
139	89.41261954742781
140	88.38508077780291
141	87.369555869163
142	86.36854534422592
143	85.3845981594701
144	84.42023499012876
145	83.47787390323549
146	82.55976045597849
147	81.66790471718534
148	80.80402691756919
149	79.96951306650399
150	79.16538151714526
151	78.39226108140323
152	77.65038056970403
153	76.93956971764295
154	76.25927041995907
155	75.60855803040415
156	74.9861708084069
157	74.39054676128214
158	73.81986620532355
159	73.27209863262331
160	72.74505234679889
161	72.2364255699404
162	71.74385753538125
163	71.26497829554549
164	70.79745632753335
165	70.33904274378521
166	69.88761135653168
167	69.44119404600595
168	68.99801071019826
169	68.55649364942
170	68.11530601307341
171	67.67335427277628
172	67.22979492199481
173	66.78403512046363
174	66.33572807279059
175	65.88476298558932
176	65.431250428076
177	64.97550318197592
178	64.51801353847125
179	64.05942719573174
180	63.600514766548116
181	63.142141460616195
182	62.68523554240679
183	62.23075640249742
184	61.779663047601694
185	61.33288356478044
186	60.89128642716981
187	60.45565428391634
188	60.02666092710182
189	59.60485177992927
190	59.19062881161332
191	58.78423975577631
192	58.3857723237907
193	57.99515328366163
194	57.612152566799416
195	57.23639210018156
196	56.86735923780064
197	56.50442421006076
198	56.146861164898766
199	55.793872100338675
200	55.44461282727478
201	55.098220327618314
202	54.75384046614659
203	54.41065529060002
204	54.067909022805495
205	53.72493191224615
206	53.381161274417344
207	53.0361590039176
208	52.6896251180442
209	52.34140692250586
210	51.99150354617012
211	51.640065853941806
212	51.287391673426356
213	50.93391673276819
214	50.580201502394054
215	50.22691446582725
216	49.87481253450205
217	49.52471900471022
218	49.17749995737606
219	48.834039786164254
220	48.49521653481524
221	48.16187780917983
222	47.83481802459211
223	47.514757363419434
224	47.202323319739335
225	46.89803492371325
226	46.60229030322238
227	46.315357623880956
228	46.03736968394164
229	45.76832207221142
230	45.50807492896423
231	45.256358070688016
232	45.01277929864179
233	44.77683547180599
234	44.54792607403385
235	44.325368729656994
236	44.10841631226525
237	43.896275000387625
238	43.68812294833626
239	43.48312900269943
240	43.280470947177335
241	43.07935291576883
242	42.87902158670458
243	42.67878065384775
244	42.478003454978506
245	42.2761434495594
246	42.0727423397272
247	41.86743579300651
248	41.659956686730396
249	41.45013587909134
250	41.23790065493279
251	41.023270952397176
252	40.80635352802405
253	40.58733436634108
254	40.36646952653375
255	40.144074789014134
256	39.92051438689676
257	39.696189085331646
258	39.471524090652885
259	39.24695694997701
260	39.022925760958266
261	38.79985807343231
262	38.5781606422252
263	38.358210204906996
264	38.14034561304979
265	37.924861275651864
266	37.712002128925704
267	37.501960132922605
268	37.29487229520149
269	37.09082023863381
270	36.889831188504516
271	36.691880321645826
272	36.496894300449206
273	36.304755915149876
274	36.115309546501315
275	35.92836742828188
276	35.74371629544159
277	35.561124465235146
278	35.38034893786813
279	35.2011424590802
280	35.023260358523714
281	34.846466948590056
282	34.670541365440556
283	34.49528275796041
284	34.320514660261175
285	34.14608857328503
286	33.97188657267881
287	33.79782304246027
288	33.62384547360897
289	33.449934339490504
290	33.27610210968123
291	33.10239151008129
292	32.92887303026113
293	32.75564183438738
294	32.58281419197003
295	32.41052347347614
296	32.238915902791604
297	32.06814621986745
298	31.898373251685225
299	31.729755611634467
300	31.562447643439867
301	31.396595630958192
302	31.23233442024287
303	31.069784507273457
304	30.909049672785542
305	30.75021515621104
306	30.59334642388426
307	30.438488515172953
308	30.2856660016859
309	30.13488347933669
310	29.986126571194465
311	29.839363402887052
312	29.694546467314037
313	29.551614840269462
314	29.410496609723296
315	29.27111152424356
316	29.133373723443093
317	28.997194501795637
318	28.862484989483637
319	28.72915877168183
320	28.59713425857393
321	28.46633692969012
322	28.336701202889916
323	28.20817209282198
324	28.080706466727023
325	27.954274030248573
326	27.8288579465015
327	27.70445508390798
328	27.581076024466473
329	27.458744684886657
330	27.337497690927
331	27.217383483537446
332	27.098461225091317
333	26.980799486412167
334	26.86447477906165
335	26.749569940002214
336	26.636172484216377
337	26.524372789513112
338	26.41426233198446
339	26.30593186059485
340	26.199469581687634
341	26.094959399264745
342	25.992479160355114
343	25.89209903912411
344	25.793879945115833
345	25.697872044296275
346	25.604113415847088
347	25.512628825198814
348	25.423428623882597
349	25.336507839546694
350	25.251845388395896
351	25.169403490521688
352	25.089127301895516
353	25.01094468561567
354	24.934766237577826
355	24.860485526993237
356	24.787979540208163
357	24.717109383267513
358	24.647721171215103
359	24.57964716500861
360	24.512707140586844
361	24.446709934049654
362	24.38145518625765
363	24.316735313882624
364	24.25233752299012
365	24.188046083671654
366	24.123644603931545
367	24.058918398793267
368	23.993656922645865
369	23.927656150330197
370	23.86072095986853
371	23.79266738753587
372	23.723324827484287
373	23.65253804602518
374	23.580169003079416
375	23.506098519422284
376	23.430227620167834
377	23.352478697186832
378	23.272796340941827
379	23.191147908552484
380	23.107523774288413
381	23.021937303766034
382	22.934424501111277
383	22.84504338887384
384	22.753873101774186
385	22.661012731049798
386	22.566579936035694
387	22.47070931455729
388	22.373550645030356
389	22.275266933616564
390	22.17603236992965
391	22.076030172401488
392	21.975450424115802
393	21.874487839099334
394	21.773339586341557
395	21.672203134682473
396	21.571274172346513
397	21.470744633822456
398	21.37080083615732
399	21.271621749009874
400	21.173377433994563
401	21.076227642930995
402	20.980320596159917
403	20.88579191448548
404	20.792763797262488
405	20.70134428711198
406	20.6116268125577
407	20.523689829907152
408	20.43759666797469
409	20.353395512652913
410	20.271119523099568
411	20.190787121976108
412	20.11240234067612
413	20.03595533914497
414	19.961422962594906
415	19.88876940990844
416	19.81794696419958
417	19.74889678383009
418	19.681549729859274
419	19.61582725060847
420	19.55164227366299
421	19.488900159795573
422	19.427499605308878
423	19.367333642154744
424	19.30829057641345
425	19.250254956711057
426	19.193108534967674
427	19.136731247693767
428	19.08100214114139
429	19.025800327121708
430	18.971005921662968
431	18.91650094380272
432	18.862170231036625
433	18.807902299269323
434	18.753590191986074
435	18.699132309605147
436	18.64443317274644
437	18.589404179769865
438	18.53396429407759
439	18.478040692430252
440	18.4215693337015
441	18.364495502329675
442	18.306774232233934
443	18.248370712658566
444	18.189260561150128
445	18.12943002728407
446	18.068876120181393
447	18.007606615882636
448	17.945640000749997
449	17.883005269005846
450	17.819741672088618
451	17.75589831742457
452	17.69153370568317
453	17.62671514654123
454	17.561518110458856
455	17.496025459535073
456	17.43032661103268
457	17.36451663432242
458	17.298695267083488
459	17.232965886390435
460	17.1674344203767
461	17.102208243392592
462	17.0373950059527
463	16.97310150716879
464	16.90943251598407
465	16.84648962932541
466	16.784370155375154
467	16.72316601269108
468	16.662962690592863
469	16.603838281987798
470	16.54586254536679
471	16.4890960955922
472	16.433589643855658
473	16.379383368875153
474	16.326506369229712
475	16.274976232409564
476	16.22479875237522
477	16.175967706936152
478	16.12846484193233
479	16.08225989744959
480	16.037310833082262
481	15.993564138108024
482	15.950955271459797
483	15.90940923511781
484	15.868841260920677
485	15.829157586177917
486	15.790256353259256
487	15.752028598503522
488	15.714359309870447
489	15.677128583077694
490	15.640212816926706
491	15.603485955866073
492	15.56682079043566
493	15.530090265615739
494	15.493168788908395
495	15.455933556637842
496	15.418265844468259
497	15.380052259124687
498	15.341185966204113
499	15.301567828631313
500	15.2611074914323
501	15.219724382668412
502	15.177348599830534
503	15.133921701784057
504	15.089397379387012
505	15.04374202510067
506	14.99693511956955
507	14.948969544429591
508	14.899851717624957
509	14.84960159337889
510	14.798252529822411
511	14.74585102190785
512	14.692456266414796
513	14.63813964264865
